name,gender,disciplines,country
ALEKSANYAN Artur,Male,['Wrestling'],Armenia
AMOYAN Malkhas,Male,['Wrestling'],Armenia
GALSTYAN Slavik,Male,['Wrestling'],Armenia
HARUTYUNYAN Arsen,Male,['Wrestling'],Armenia
TEVANYAN Vazgen,Male,['Wrestling'],Armenia
ARENAS Lorena,Female,['Athletics'],Colombia
McKENZIE Ashley,Male,['Judo'],Jamaica
BASS BITTAYE Gina Mariam,Female,['Athletics'],Gambia
CAMARA Ebrahima,Male,['Athletics'],Gambia
RUEDA SANTOS Lizeth,Female,['Triathlon'],Mexico
TAPIA VIDAL Rosa Maria,Female,['Triathlon'],Mexico
GRAJALES Crisanto,Male,['Triathlon'],Mexico
MAAROUFOU Hachim,Male,['Athletics'],Comoros
SAADI Maesha,Female,['Swimming'],Comoros
DIOSDADO Nuria,Female,['Artistic Swimming'],Mexico
JIMENEZ Joana,Female,['Artistic Swimming'],Mexico
SOBRINO Jessica,Female,['Artistic Swimming'],Mexico
ALFEREZ Regina,Female,['Artistic Swimming'],Mexico
ARELLANO Fernanda,Female,['Artistic Swimming'],Mexico
TOSCANO Pamela,Female,['Artistic Swimming'],Mexico
GONZALEZ Itzamary,Female,['Artistic Swimming'],Mexico
RODRIGUEZ Samanta,Female,['Artistic Swimming'],Mexico
INZUNZA Glenda,Female,['Artistic Swimming'],Mexico
SEHEN Sajjad,Male,['Judo'],Iraq
RUBAIAWI Ali Ammar Yusur,Male,['Weightlifting'],Iraq
ISMAIL Mohamed,Male,['Athletics'],Djibouti
HASSAN Ibrahim,Male,['Athletics'],Djibouti
WAISS Abdi,Male,['Athletics'],Djibouti
HASSAN NOUR Samiyah,Female,['Athletics'],Djibouti
HOUSSEIN BARKAT Houmed,Male,['Swimming'],Djibouti
BARAT Andy,Male,['Canoe Slalom'],Comoros
MARTINEZ RAMIREZ Miguel Angel,Male,['Boxing'],Mexico
VERDE ALVAREZ Marco Alonso,Male,['Boxing'],Mexico
GONZALEZ Alegna,Female,['Athletics'],Mexico
LOPEZ Jesus Tonatiu,Male,['Athletics'],Mexico
PORTILLO Erick,Male,['Athletics'],Mexico
MUNOZ Uziel,Male,['Athletics'],Mexico
del REAL Diego,Male,['Athletics'],Mexico
