name,gender,disciplines,country
PEDRERO Ofelia,Female,Artistic Swimming,Mexico
RADHI SHENAISHIL,Male,Football,Iraq
AFLAKIKHAMSEH Majid,Male,Taekwondo,IR Iran
YOUSEFY Mehrdad,Male,Taekwondo,IR Iran
MADDAH Minoo,Female,Taekwondo,IR Iran
LOFTUS Adriana,Female,Artistic Swimming,Mexico
FERRARA Fernando,Male,Hockey,Argentina
GULLA Alejandra,Female,Hockey,Argentina
CAPURRO Santiago,Male,Hockey,Argentina
RONCONI Mariano,Male,Hockey,Argentina
PAULON Ezequiel,Male,Hockey,Argentina
VILA Matias,Male,Hockey,Argentina
KHEIRKHAH HAJIRASOULIAN Mohammadre.,Male,Artistic Gymnastics,IR Iran
DAVIS DIAZ David,Male,Taekwondo,Mexico
MENDOZA MORA Abel,Male,Taekwondo,Mexico
VICTORIA ESPINOSA de los Alfonso,Male,Taekwondo,Mexico
MILANO Guillermo,Male,Handball,Argentina
GOMEZ CORA Santiago,Male,Rugby Sevens,Argentina
GRAVANO Leonardo,Male,Rugby Sevens,Argentina
FILIORIANU Ana Luiza,Female,Rhythmic Gymnastics,Romania
SMAILI Badr,Male,Taekwondo,Morocco
OCEGUERA ORNELAS Pavel,Male,Artistic Gymnastics,Mexico
VALENZUELA GOMEZ Maria,Female,Artistic Gymnastics,Mexico
MEZA PADILLA Jose,Male,Artistic Gymnastics,Mexico
AGUILAR ROJAS Blajaith,Female,Rhythmic Gymnastics,Mexico
FURALEV Vladislav,Male,Rhythmic Gymnastics,Mexico
UPTON Patrick Anthony Howard,Male,Hockey,India
SCHOPMAN Johanna Dorothea Maria,Female,Hockey,India
HALKETT Rhett Kennedy,Male,Hockey,India
FULTON Craig Arthur,Male,Hockey,India
FARRY Anthony James,Male,Hockey,India
THORPE Karen,Female,Artistic Swimming,Great Britain
TOMOMATSU Yumiko,Female,Artistic Swimming,Great Britain
CURRAN Orlaith,Female,Rugby Sevens,Ireland
NASKAR Arup,Male,Hockey,India
CHINNASAMY Ashok Kumar,Male,Hockey,India
BUSNARI Alberto,Male,Artistic Gymnastics,Italy
COCCIARO Giuseppe,Male,Artistic Gymnastics,Italy
FORTUNA Marco,Male,Artistic Gymnastics,Italy
BERGAMELLI Monica Roberta,Female,Artistic Gymnastics,Italy
CHIRILCENCO Marc Michel,Male,Artistic Gymnastics,Algeria
HAMICI Saad Eddine,Male,Artistic Gymnastics,Algeria
HERRANZ MARTIN Miguel Angel,Male,Taekwondo,Spain
RAMAL MUNOZ Jesus,Male,Taekwondo,Spain
SEIJO GIEBELS Christian Jaime,Male,Taekwondo,Spain
TOLEDO AROCA Antonio,Male,Taekwondo,Spain
YAGUE ENRIQUE Brigida,Female,Taekwondo,Spain
JONES Gilmar,Male,Taekwondo,Suriname
DIMITROVA Vesela,Female,Rhythmic Gymnastics,Bulgaria
STOYNEVA Yasena,Female,Rhythmic Gymnastics,Bulgaria
MARKOVA Branimira,Female,Rhythmic Gymnastics,Bulgaria
PAMUKOVA Mariyana,Female,Rhythmic Gymnastics,Bulgaria
IVANOVA Valentina,Female,Rhythmic Gymnastics,Bulgaria
LEE Eui Yong,Male,Taekwondo,Gambia
ARILL Samuel,Male,Basketball,Puerto Rico
MORALES OTERO Carlos,Male,Basketball,Puerto Rico
BATISTA Gerardo,Male,Basketball,Puerto Rico
COTUTIU Florin,Male,Artistic Gymnastics,Romania
JONES Daymon,Male,Artistic Gymnastics,Romania
KIENS Patrick,Male,Artistic Gymnastics,Romania
MOROSAN Corina,Female,Artistic Gymnastics,Romania
