name,gender,discipline,country,medal_type
Remco EVENEPOEL,M,Cycling Road,Belgium,Gold Medal
Filippo GANNA,M,Cycling Road,Italy,Silver Medal
Wout van AERT,M,Cycling Road,Belgium,Bronze Medal
Grace BROWN,W,Cycling Road,Australia,Gold Medal
Anna HENDERSON,W,Cycling Road,Great Britain,Silver Medal
Chloe DYGERT,W,Cycling Road,United States,Bronze Medal
China,W,Diving,China,Gold Medal
United States,W,Diving,United States,Silver Medal
Great Britain,W,Diving,Great Britain,Bronze Medal
OH Sanguk,M,Fencing,Korea,Gold Medal
Fares FERJANI,M,Fencing,Tunisia,Silver Medal
Luigi SAMELE,M,Fencing,Italy,Bronze Medal
KONG Man Wai Vivian,W,Fencing,"Hong Kong, China",Gold Medal
Auriane MALLO-BRETON,W,Fencing,France,Silver Medal
Eszter MUHARI,W,Fencing,Hungary,Bronze Medal
Yeldos SMETOV,M,Judo,Kazakhstan,Gold Medal
Luka MKHEIDZE,M,Judo,France,Silver Medal
NAGAYAMA Ryuju,M,Judo,Japan,Bronze Medal
Francisco GARRIGOS,M,Judo,Spain,Bronze Medal
TSUNODA Natsumi,W,Judo,Japan,Gold Medal
Baasankhuu BAVUUDORJ,W,Judo,Mongolia,Silver Medal
Shirine BOUKLI,W,Judo,France,Bronze Medal
Tara BABULFATH,W,Judo,Sweden,Bronze Medal
France,M,Rugby Sevens,France,Gold Medal
Fiji,M,Rugby Sevens,Fiji,Silver Medal
South Africa,M,Rugby Sevens,South Africa,Bronze Medal
China 1,X,Shooting,China,Gold Medal
Korea 1,X,Shooting,Korea,Silver Medal
Kazakhstan 1,X,Shooting,Kazakhstan,Bronze Medal
United States,M,Swimming,United States,Gold Medal
Australia,M,Swimming,Australia,Silver Medal
Italy,M,Swimming,Italy,Bronze Medal
Lukas MAERTENS,M,Swimming,Germany,Gold Medal
Elijah WINNINGTON,M,Swimming,Australia,Silver Medal
KIM Woomin,M,Swimming,Korea,Bronze Medal
Australia,W,Swimming,Australia,Gold Medal
United States,W,Swimming,United States,Silver Medal
China,W,Swimming,China,Bronze Medal
Ariarne TITMUS,W,Swimming,Australia,Gold Medal
Summer McINTOSH,W,Swimming,Canada,Silver Medal
Katie LEDECKY,W,Swimming,United States,Bronze Medal
