team,team_gender,country,discipline
People's Republic of China,M,China,Archery
Colombia,M,Colombia,Archery
France,M,France,Archery
Great Britain,M,Great Britain,Archery
India,M,India,Archery
Italy,M,Italy,Archery
Japan,M,Japan,Archery
Kazakhstan,M,Kazakhstan,Archery
Republic of Korea,M,Korea,Archery
Mexico,M,Mexico,Archery
Chinese Taipei,M,Chinese Taipei,Archery
Türkiye,M,Türkiye,Archery
People's Republic of China,W,China,Archery
France,W,France,Archery
Great Britain,W,Great Britain,Archery
Germany,W,Germany,Archery
Indonesia,W,Indonesia,Archery
India,W,India,Archery
Republic of Korea,W,Korea,Archery
Malaysia,W,Malaysia,Archery
Mexico,W,Mexico,Archery
Netherlands,W,Netherlands,Archery
Chinese Taipei,W,Chinese Taipei,Archery
United States of America,W,United States,Archery
Australia,X,Australia,Archery
Brazil,X,Brazil,Archery
Canada,X,Canada,Archery
People's Republic of China,X,China,Archery
Colombia,X,Colombia,Archery
Czechia,X,Czechia,Archery
Egypt,X,Egypt,Archery
Spain,X,Spain,Archery
France,X,France,Archery
Great Britain,X,Great Britain,Archery
Germany,X,Germany,Archery
Indonesia,X,Indonesia,Archery
India,X,India,Archery
Israel,X,Israel,Archery
Italy,X,Italy,Archery
Japan,X,Japan,Archery
Republic of Korea,X,Korea,Archery
Republic of Moldova,X,Republic of Moldova,Archery
Mexico,X,Mexico,Archery
Netherlands,X,Netherlands,Archery
Slovenia,X,Slovenia,Archery
Chinese Taipei,X,Chinese Taipei,Archery
Türkiye,X,Türkiye,Archery
Ukraine,X,Ukraine,Archery
United States of America,X,United States,Archery
Uzbekistan,X,Uzbekistan,Archery
Vietnam,X,Vietnam,Archery
Australia,M,Australia,Athletics
Brazil,M,Brazil,Athletics
Canada,M,Canada,Athletics
People's Republic of China,M,China,Athletics
France,M,France,Athletics
Great Britain,M,Great Britain,Athletics
Germany,M,Germany,Athletics
Ghana,M,Ghana,Athletics
Italy,M,Italy,Athletics
Jamaica,M,Jamaica,Athletics
Japan,M,Japan,Athletics
Liberia,M,Liberia,Athletics
Netherlands,M,Netherlands,Athletics
Nigeria,M,Nigeria,Athletics
South Africa,M,South Africa,Athletics
United States of America,M,United States,Athletics
Belgium,M,Belgium,Athletics
Botswana,M,Botswana,Athletics
Brazil,M,Brazil,Athletics
Spain,M,Spain,Athletics
France,M,France,Athletics
Great Britain,M,Great Britain,Athletics
Germany,M,Germany,Athletics
India,M,India,Athletics
Italy,M,Italy,Athletics
Japan,M,Japan,Athletics
Nigeria,M,Nigeria,Athletics
Poland,M,Poland,Athletics
South Africa,M,South Africa,Athletics
Trinidad and Tobago,M,Trinidad and Tobago,Athletics
United States of America,M,United States,Athletics
Zambia,M,Zambia,Athletics
Australia,W,Australia,Athletics
Belgium,W,Belgium,Athletics
Canada,W,Canada,Athletics
Côte d'Ivoire,W,Côte d'Ivoire,Athletics
Spain,W,Spain,Athletics
France,W,France,Athletics
Great Britain,W,Great Britain,Athletics
Germany,W,Germany,Athletics
Italy,W,Italy,Athletics
Jamaica,W,Jamaica,Athletics
Netherlands,W,Netherlands,Athletics
Nigeria,W,Nigeria,Athletics
Poland,W,Poland,Athletics
Switzerland,W,Switzerland,Athletics
Trinidad and Tobago,W,Trinidad and Tobago,Athletics
United States of America,W,United States,Athletics
Belgium,W,Belgium,Athletics
Canada,W,Canada,Athletics
Cuba,W,Cuba,Athletics
Spain,W,Spain,Athletics
France,W,France,Athletics
Great Britain,W,Great Britain,Athletics
Germany,W,Germany,Athletics
India,W,India,Athletics
Ireland,W,Ireland,Athletics
Italy,W,Italy,Athletics
Jamaica,W,Jamaica,Athletics
Netherlands,W,Netherlands,Athletics
Norway,W,Norway,Athletics
Poland,W,Poland,Athletics
Switzerland,W,Switzerland,Athletics
United States of America,W,United States,Athletics
COWLEY R / MONTAG J,X,Australia,Athletics
TINGAY D / HENDERSON R,X,Australia,Athletics
BONFIM C / LYRA V,X,Brazil,Athletics
DUNFEE E / LUNDMAN O,X,Canada,Athletics
ZHANG Jun / YANG Jiayu,X,China,Athletics
HE X / QIEYANG S,X,China,Athletics
ROMERO M / ARENAS L,X,Colombia,Athletics
HERRERA/MOJICA CHALARCA,X,Colombia,Athletics
HLAVAC V / MARTINKOVA E,X,Czechia,Athletics
